file,output,before_bytes,after_bytes,width,height
images/roles/anime/cleric.webp,images/roles/anime/cleric.webp,177658,59170,1024,1024
images/roles/anime/evil_lancelot.webp,images/roles/anime/evil_lancelot.webp,143752,62858,1024,1024
images/roles/anime/good_lancelot.webp,images/roles/anime/good_lancelot.webp,158192,73006,1024,1024
images/roles/anime/guinevere.webp,images/roles/anime/guinevere.webp,159690,64576,1024,1024
images/roles/anime/isolde.webp,images/roles/anime/isolde.webp,184756,62052,1024,1024
images/roles/anime/lunatic.webp,images/roles/anime/lunatic.webp,112260,45086,1024,1024
images/roles/anime/merlin.webp,images/roles/anime/merlin.webp,97244,53508,1024,1024
images/roles/anime/merlin_pure.webp,images/roles/anime/merlin_pure.webp,151874,88130,1024,1024
images/roles/anime/minion.webp,images/roles/anime/minion.webp,245508,80218,1024,1024
images/roles/anime/mordred.webp,images/roles/anime/mordred.webp,97090,45036,1024,1024
images/roles/anime/morgana.webp,images/roles/anime/morgana.webp,30120,30120,1024,1024
images/roles/anime/mystery.webp,images/roles/anime/mystery.webp,57526,30268,1024,1024
images/roles/anime/oberon.webp,images/roles/anime/oberon.webp,48208,25024,1024,1024
images/roles/anime/percival.webp,images/roles/anime/percival.webp,155330,74990,1024,1024
images/roles/anime/revealer.webp,images/roles/anime/revealer.webp,131332,131332,1024,1024
images/roles/anime/revealer_hidden.webp,images/roles/anime/revealer_hidden.webp,134656,134656,1024,1024
images/roles/anime/revealer_progress.webp,images/roles/anime/revealer_progress.webp,99254,99254,1024,1024
images/roles/anime/servant.webp,images/roles/anime/servant.webp,209872,67408,1024,1024
images/roles/anime/trickster.webp,images/roles/anime/trickster.webp,131348,65934,1024,1024
images/roles/anime/tristan.webp,images/roles/anime/tristan.webp,135768,60298,1024,1024
images/roles/anime/troublemaker.webp,images/roles/anime/troublemaker.webp,144364,66826,1024,1024
images/roles/anime/unknown_lancelot.webp,images/roles/anime/unknown_lancelot.webp,157402,72192,1024,1024
images/roles/anime/witch.webp,images/roles/anime/witch.webp,123016,21352,1024,1024
images/roles/anime/wraith.webp,images/roles/anime/wraith.webp,170582,170582,1024,1024
images/roles/brute.webp,images/roles/brute.webp,204376,62974,1024,1024
images/roles/cleric.webp,images/roles/cleric.webp,201904,66176,1024,1024
images/roles/evil_lancelot.webp,images/roles/evil_lancelot.webp,138184,59300,1024,1024
images/roles/good_lancelot.webp,images/roles/good_lancelot.webp,226200,89596,1024,1024
images/roles/guinevere.webp,images/roles/guinevere.webp,216742,66310,1024,1024
images/roles/isolde.webp,images/roles/isolde.webp,207256,72572,1024,1024
images/roles/legacy/merlin.webp,images/roles/legacy/merlin.webp,31282,31282,752,1127
images/roles/legacy/minion.webp,images/roles/legacy/minion.webp,129662,129662,848,1264
images/roles/legacy/mordred.webp,images/roles/legacy/mordred.webp,15376,15376,752,1127
images/roles/legacy/morgana.webp,images/roles/legacy/morgana.webp,30294,30294,752,1127
images/roles/legacy/oberon.webp,images/roles/legacy/oberon.webp,29328,29328,752,1127
images/roles/legacy/percival.webp,images/roles/legacy/percival.webp,24956,24956,752,1127
images/roles/legacy/servant.webp,images/roles/legacy/servant.webp,153452,153452,848,1264
images/roles/lunatic.webp,images/roles/lunatic.webp,242734,82548,1024,1024
images/roles/merlin.webp,images/roles/merlin.webp,223788,70716,1024,1024
images/roles/merlin_pure.webp,images/roles/merlin_pure.webp,275090,88982,1024,1024
images/roles/minion.webp,images/roles/minion.webp,244398,90252,1024,1024
images/roles/mordred.webp,images/roles/mordred.webp,209462,63916,1024,1024
images/roles/morgana.webp,images/roles/morgana.webp,376212,29844,1024,1024
images/roles/mystery.webp,images/roles/mystery.webp,163084,49850,1024,1024
images/roles/oberon.webp,images/roles/oberon.webp,203122,20182,1024,1024
images/roles/percival.webp,images/roles/percival.webp,230342,82758,1024,1024
images/roles/revealer.webp,images/roles/revealer.webp,150780,150780,1024,1024
images/roles/revealer_hidden.webp,images/roles/revealer_hidden.webp,114978,114978,1024,1024
images/roles/revealer_progress.webp,images/roles/revealer_progress.webp,114546,114546,1024,1024
images/roles/servant.webp,images/roles/servant.webp,257796,75610,1024,1024
images/roles/trickster.webp,images/roles/trickster.webp,178906,60166,1024,1024
images/roles/tristan.webp,images/roles/tristan.webp,192294,68456,1024,1024
images/roles/troublemaker.webp,images/roles/troublemaker.webp,203666,59904,1024,1024
images/roles/unknown_lancelot.webp,images/roles/unknown_lancelot.webp,226702,90762,1024,1024
images/roles/witch.webp,images/roles/witch.webp,207962,63742,1024,1024
images/roles/wraith.webp,images/roles/wraith.webp,108750,108750,1024,1024
images/stickers/merlin-detective.png,images/stickers/merlin-detective.webp,162420,35976,320,320
images/stickers/merlin-think.png,images/stickers/merlin-think.webp,158388,35504,320,320
images/stickers/minion-oops.png,images/stickers/minion-oops.webp,177280,39952,320,320
images/stickers/mordred-puppet.png,images/stickers/mordred-puppet.webp,198684,46256,320,320
images/stickers/morgana-violin.png,images/stickers/morgana-violin.webp,169269,33938,320,320
images/stickers/morgana-wow.png,images/stickers/morgana-wow.webp,144408,28146,320,320
images/stickers/oberon-laugh.png,images/stickers/oberon-laugh.webp,150335,30486,320,320
images/stickers/oberon-smirk.png,images/stickers/oberon-smirk.webp,170692,34302,320,320
images/stickers/percival-shield.png,images/stickers/percival-shield.webp,182156,41282,320,320
images/stickers/percival-toast.png,images/stickers/percival-toast.webp,166952,37110,320,320
images/stickers/percival-worthy.png,images/stickers/percival-worthy.webp,162139,39034,320,320
images/stickers/servant-victory.png,images/stickers/servant-victory.webp,170475,41346,320,320
images/stickers/servant-wave.png,images/stickers/servant-wave.webp,173559,37184,320,320
images/stickers/servant-yes.png,images/stickers/servant-yes.webp,151636,31636,320,320
